question_id,AMR_Depth
mmlu_abstract_algebra_row_0,7
mmlu_abstract_algebra_row_1,4
mmlu_abstract_algebra_row_2,6
mmlu_abstract_algebra_row_3,5
mmlu_abstract_algebra_row_4,6
mmlu_abstract_algebra_row_5,7
mmlu_abstract_algebra_row_6,6
mmlu_abstract_algebra_row_7,5
mmlu_abstract_algebra_row_8,6
mmlu_abstract_algebra_row_9,7
mmlu_abstract_algebra_row_10,4
mmlu_abstract_algebra_row_11,6
mmlu_abstract_algebra_row_12,6
mmlu_abstract_algebra_row_13,7
mmlu_abstract_algebra_row_14,6
mmlu_abstract_algebra_row_15,7
mmlu_abstract_algebra_row_16,8
mmlu_abstract_algebra_row_17,3
mmlu_abstract_algebra_row_18,7
mmlu_abstract_algebra_row_19,7
mmlu_abstract_algebra_row_20,10
mmlu_abstract_algebra_row_21,9
mmlu_abstract_algebra_row_22,8
mmlu_abstract_algebra_row_23,5
mmlu_abstract_algebra_row_24,7
mmlu_abstract_algebra_row_25,5
mmlu_abstract_algebra_row_26,8
mmlu_abstract_algebra_row_27,6
mmlu_abstract_algebra_row_28,10
mmlu_abstract_algebra_row_29,6
mmlu_abstract_algebra_row_30,6
mmlu_abstract_algebra_row_31,5
mmlu_abstract_algebra_row_32,8
mmlu_abstract_algebra_row_33,6
mmlu_abstract_algebra_row_34,8
mmlu_abstract_algebra_row_35,5
mmlu_abstract_algebra_row_36,5
mmlu_abstract_algebra_row_37,5
mmlu_abstract_algebra_row_38,7
mmlu_abstract_algebra_row_39,5
mmlu_abstract_algebra_row_40,5
mmlu_abstract_algebra_row_41,6
mmlu_abstract_algebra_row_42,6
mmlu_abstract_algebra_row_43,7
mmlu_abstract_algebra_row_44,6
mmlu_abstract_algebra_row_45,6
mmlu_abstract_algebra_row_46,6
mmlu_abstract_algebra_row_47,7
mmlu_abstract_algebra_row_48,6
mmlu_abstract_algebra_row_49,9
mmlu_abstract_algebra_row_50,6
mmlu_abstract_algebra_row_51,8
mmlu_abstract_algebra_row_52,5
mmlu_abstract_algebra_row_53,5
mmlu_abstract_algebra_row_54,4
mmlu_abstract_algebra_row_55,5
mmlu_abstract_algebra_row_56,6
mmlu_abstract_algebra_row_57,7
mmlu_abstract_algebra_row_58,7
mmlu_abstract_algebra_row_59,9
mmlu_abstract_algebra_row_60,8
mmlu_abstract_algebra_row_61,7
mmlu_abstract_algebra_row_62,6
mmlu_abstract_algebra_row_63,5
mmlu_abstract_algebra_row_64,7
mmlu_abstract_algebra_row_65,9
mmlu_abstract_algebra_row_66,7
mmlu_abstract_algebra_row_67,6
mmlu_abstract_algebra_row_68,9
mmlu_abstract_algebra_row_69,8
mmlu_abstract_algebra_row_70,6
mmlu_abstract_algebra_row_71,10
mmlu_abstract_algebra_row_72,5
mmlu_abstract_algebra_row_73,6
mmlu_abstract_algebra_row_74,14
mmlu_abstract_algebra_row_75,6
mmlu_abstract_algebra_row_76,6
mmlu_abstract_algebra_row_77,5
mmlu_abstract_algebra_row_78,10
mmlu_abstract_algebra_row_79,5
mmlu_abstract_algebra_row_80,4
mmlu_abstract_algebra_row_81,8
mmlu_abstract_algebra_row_82,7
mmlu_abstract_algebra_row_83,5
mmlu_abstract_algebra_row_84,5
mmlu_abstract_algebra_row_85,9
mmlu_abstract_algebra_row_86,5
mmlu_abstract_algebra_row_87,6
mmlu_abstract_algebra_row_88,6
mmlu_abstract_algebra_row_89,7
mmlu_abstract_algebra_row_90,8
mmlu_abstract_algebra_row_91,6
mmlu_abstract_algebra_row_92,4
mmlu_abstract_algebra_row_93,6
mmlu_abstract_algebra_row_94,5
mmlu_abstract_algebra_row_95,5
mmlu_abstract_algebra_row_96,6
mmlu_abstract_algebra_row_97,8
mmlu_abstract_algebra_row_98,6
mmlu_abstract_algebra_row_99,7
mmlu_anatomy_row_0,3
mmlu_anatomy_row_1,3
mmlu_anatomy_row_2,6
mmlu_anatomy_row_3,5
mmlu_anatomy_row_4,3
mmlu_anatomy_row_5,5
mmlu_anatomy_row_6,6
mmlu_anatomy_row_7,5
mmlu_anatomy_row_8,6
mmlu_anatomy_row_9,4
mmlu_anatomy_row_10,4
mmlu_anatomy_row_11,4
mmlu_anatomy_row_12,3
mmlu_anatomy_row_13,4
mmlu_anatomy_row_14,5
mmlu_anatomy_row_15,4
mmlu_anatomy_row_16,10
mmlu_anatomy_row_17,5
mmlu_anatomy_row_18,3
mmlu_anatomy_row_19,4
mmlu_anatomy_row_20,5
mmlu_anatomy_row_21,5
mmlu_anatomy_row_22,5
mmlu_anatomy_row_23,4
mmlu_anatomy_row_24,4
mmlu_anatomy_row_25,3
mmlu_anatomy_row_26,7
mmlu_anatomy_row_27,5
mmlu_anatomy_row_28,4
mmlu_anatomy_row_29,6
mmlu_anatomy_row_30,4
mmlu_anatomy_row_31,4
mmlu_anatomy_row_32,6
mmlu_anatomy_row_33,5
mmlu_anatomy_row_34,4
mmlu_anatomy_row_35,6
mmlu_anatomy_row_36,3
mmlu_anatomy_row_37,3
mmlu_anatomy_row_38,5
mmlu_anatomy_row_39,5
mmlu_anatomy_row_40,4
mmlu_anatomy_row_41,4
mmlu_anatomy_row_42,5
mmlu_anatomy_row_43,3
mmlu_anatomy_row_44,5
mmlu_anatomy_row_45,4
mmlu_anatomy_row_46,5
mmlu_anatomy_row_47,5
mmlu_anatomy_row_48,4
mmlu_anatomy_row_49,4
mmlu_anatomy_row_50,4
mmlu_anatomy_row_51,6
mmlu_anatomy_row_52,3
mmlu_anatomy_row_53,5
mmlu_anatomy_row_54,3
mmlu_anatomy_row_55,5
mmlu_anatomy_row_56,4
mmlu_anatomy_row_57,4
mmlu_anatomy_row_58,3
mmlu_anatomy_row_59,4
mmlu_anatomy_row_60,4
mmlu_anatomy_row_61,5
mmlu_anatomy_row_62,4
mmlu_anatomy_row_63,4
mmlu_anatomy_row_64,4
mmlu_anatomy_row_65,4
mmlu_anatomy_row_66,3
mmlu_anatomy_row_67,4
mmlu_anatomy_row_68,4
mmlu_anatomy_row_69,6
mmlu_anatomy_row_70,4
mmlu_anatomy_row_71,5
mmlu_anatomy_row_72,6
mmlu_anatomy_row_73,3
mmlu_anatomy_row_74,7
mmlu_anatomy_row_75,5
mmlu_anatomy_row_76,3
mmlu_anatomy_row_77,4
mmlu_anatomy_row_78,8
mmlu_anatomy_row_79,3
mmlu_anatomy_row_80,8
mmlu_anatomy_row_81,5
mmlu_anatomy_row_82,7
mmlu_anatomy_row_83,5
mmlu_anatomy_row_84,5
mmlu_anatomy_row_85,4
mmlu_anatomy_row_86,7
mmlu_anatomy_row_87,5
mmlu_anatomy_row_88,5
mmlu_anatomy_row_89,3
mmlu_anatomy_row_90,3
mmlu_anatomy_row_91,4
mmlu_anatomy_row_92,4
mmlu_anatomy_row_93,5
mmlu_anatomy_row_94,8
mmlu_anatomy_row_95,6
mmlu_anatomy_row_96,4
mmlu_anatomy_row_97,4
mmlu_anatomy_row_98,4
mmlu_anatomy_row_99,5
mmlu_anatomy_row_100,5
mmlu_anatomy_row_101,6
mmlu_anatomy_row_102,4
