a_3pl,b_3pl
0.18391818,1.9320989
2.0878973,3.161532
1.2788918,0.60879296
2.3598018,3.2281444
0.18232423,3.1488872
2.573601,3.363665
0.22789142,-0.35092202
2.6525238,3.4136035
0.30303794,1.5705962
0.85250324,-2.3150308
2.329689,3.22054
3.2969232,0.89780015
2.592961,3.342445
2.3644934,3.3057816
3.4195542,0.9991571
2.722797,3.3599513
1.7201931,1.0211763
2.687879,1.1659398
2.721614,-0.44803438
3.9650257,0.6119263
2.530126,3.383425
2.5219753,3.2028165
3.5397289,1.5338136
4.1540437,0.42404044
2.6133494,3.4092588
2.1481705,-1.0382159
4.993271,0.20031202
0.2562606,3.4940639
3.1063824,1.4895866
0.5142806,-2.085505
2.6431262,3.2119594
1.219882,-2.8204448
0.50393337,-2.7950983
2.9632883,0.847832
2.4405954,3.2994647
0.42289484,1.7702729
3.7792928,1.4070411
2.4090323,3.1417716
0.75017035,2.679066
3.0025158,0.9497155
2.216386,1.4493549
2.7684867,3.403227
2.524765,3.2979326
1.3289026,0.9572009
0.44275215,1.0838546
1.7247628,0.05853073
2.5338721,3.2681882
0.13694534,0.27034923
2.302977,1.5904816
0.069882125,0.78052807
2.3325124,0.6875409
0.18234332,1.9421128
2.6187463,3.3607445
1.3486214,3.1914713
0.5068248,-2.9250503
0.22973646,0.60118234
2.653646,2.8367314
1.8219602,2.0949442
2.4651656,3.229299
0.22849406,2.8424215
2.418878,2.7910552
2.299366,2.0998533
2.5919764,3.3998628
2.6511943,3.3743432
0.6938013,2.7831082
4.097272,1.1526077
3.6762168,1.775722
2.7379508,3.2454715
0.13461941,-1.3178496
0.24245451,-1.120539
2.5469093,3.3790073
0.42480785,0.47471872
2.6151276,3.3308976
0.83531636,-1.5266187
3.2795575,1.6637464
2.5282924,3.376193
2.4574754,3.2536
0.547524,-3.9949172
3.4025924,1.4919614
2.4817104,3.2949343
2.2344313,3.0108278
2.755727,3.182402
0.39928445,-2.693679
0.6086149,2.6781616
2.609653,3.3225305
2.362181,3.2657845
0.13233872,1.090601
0.6254499,-1.0569614
2.9581976,1.5913272
1.8204448,0.7253809
2.6279655,3.467
0.7937777,-2.1049755
2.5883615,1.8681917
2.7935114,2.9864836
2.251598,1.6336324
1.5209373,2.8094096
3.6672044,1.7676688
