question_id,adversarial_raw_count,word_count
mmlu_abstract_algebra_row_0,0.0,26.0
mmlu_abstract_algebra_row_1,0.0,30.0
mmlu_abstract_algebra_row_2,0.0,29.0
mmlu_abstract_algebra_row_3,0.0,42.0
mmlu_abstract_algebra_row_4,0.0,38.0
mmlu_abstract_algebra_row_5,0.0,49.0
mmlu_abstract_algebra_row_6,0.0,43.0
mmlu_abstract_algebra_row_7,0.0,30.0
mmlu_abstract_algebra_row_8,0.0,21.0
mmlu_abstract_algebra_row_9,0.0,27.0
mmlu_abstract_algebra_row_10,0.0,49.0
mmlu_abstract_algebra_row_11,0.0,28.0
mmlu_abstract_algebra_row_12,0.0,20.0
mmlu_abstract_algebra_row_13,0.0,28.0
mmlu_abstract_algebra_row_14,0.0,15.0
mmlu_abstract_algebra_row_15,0.0,24.0
mmlu_abstract_algebra_row_16,0.0,21.0
mmlu_abstract_algebra_row_17,0.0,18.0
mmlu_abstract_algebra_row_18,6.0,16.0
mmlu_abstract_algebra_row_19,0.0,49.0
mmlu_abstract_algebra_row_20,0.0,56.0
mmlu_abstract_algebra_row_21,0.0,38.0
mmlu_abstract_algebra_row_22,0.0,46.0
mmlu_abstract_algebra_row_23,0.0,17.0
mmlu_abstract_algebra_row_24,0.0,32.0
mmlu_abstract_algebra_row_25,0.0,26.0
mmlu_abstract_algebra_row_26,0.0,32.0
mmlu_abstract_algebra_row_27,0.0,25.0
mmlu_abstract_algebra_row_28,0.0,39.0
mmlu_abstract_algebra_row_29,0.0,26.0
mmlu_abstract_algebra_row_30,0.0,47.0
mmlu_abstract_algebra_row_31,0.0,39.0
mmlu_abstract_algebra_row_32,0.0,45.0
mmlu_abstract_algebra_row_33,0.0,24.0
mmlu_abstract_algebra_row_34,0.0,64.0
mmlu_abstract_algebra_row_35,0.0,21.0
mmlu_abstract_algebra_row_36,0.0,17.0
mmlu_abstract_algebra_row_37,0.0,20.0
mmlu_abstract_algebra_row_38,0.0,9.0
mmlu_abstract_algebra_row_39,0.0,18.0
mmlu_abstract_algebra_row_40,0.0,37.0
mmlu_abstract_algebra_row_41,0.0,10.0
mmlu_abstract_algebra_row_42,0.0,51.0
mmlu_abstract_algebra_row_43,0.0,24.0
mmlu_abstract_algebra_row_44,0.0,36.0
mmlu_abstract_algebra_row_45,0.0,34.0
mmlu_abstract_algebra_row_46,8.0,32.0
mmlu_abstract_algebra_row_47,0.0,25.0
mmlu_abstract_algebra_row_48,0.0,64.0
mmlu_abstract_algebra_row_49,0.0,15.0
mmlu_abstract_algebra_row_50,0.0,26.0
mmlu_abstract_algebra_row_51,0.0,24.0
mmlu_abstract_algebra_row_52,0.0,23.0
mmlu_abstract_algebra_row_53,0.0,48.0
mmlu_abstract_algebra_row_54,0.0,17.0
mmlu_abstract_algebra_row_55,0.0,28.0
mmlu_abstract_algebra_row_56,0.0,23.0
mmlu_abstract_algebra_row_57,0.0,9.0
mmlu_abstract_algebra_row_58,0.0,26.0
mmlu_abstract_algebra_row_59,0.0,45.0
mmlu_abstract_algebra_row_60,0.0,29.0
mmlu_abstract_algebra_row_61,0.0,46.0
mmlu_abstract_algebra_row_62,0.0,41.0
mmlu_abstract_algebra_row_63,0.0,37.0
mmlu_abstract_algebra_row_64,0.0,10.0
mmlu_abstract_algebra_row_65,0.0,20.0
mmlu_abstract_algebra_row_66,0.0,66.0
mmlu_abstract_algebra_row_67,0.0,15.0
mmlu_abstract_algebra_row_68,0.0,22.0
mmlu_abstract_algebra_row_69,0.0,40.0
mmlu_abstract_algebra_row_70,0.0,28.0
mmlu_abstract_algebra_row_71,0.0,22.0
mmlu_abstract_algebra_row_72,0.0,17.0
mmlu_abstract_algebra_row_73,0.0,10.0
mmlu_abstract_algebra_row_74,15.0,44.0
mmlu_abstract_algebra_row_75,0.0,29.0
mmlu_abstract_algebra_row_76,0.0,47.0
mmlu_abstract_algebra_row_77,0.0,10.0
mmlu_abstract_algebra_row_78,0.0,43.0
mmlu_abstract_algebra_row_79,0.0,48.0
mmlu_abstract_algebra_row_80,0.0,29.0
mmlu_abstract_algebra_row_81,0.0,34.0
mmlu_abstract_algebra_row_82,0.0,37.0
mmlu_abstract_algebra_row_83,0.0,54.0
mmlu_abstract_algebra_row_84,0.0,36.0
mmlu_abstract_algebra_row_85,0.0,41.0
mmlu_abstract_algebra_row_86,0.0,50.0
mmlu_abstract_algebra_row_87,0.0,34.0
mmlu_abstract_algebra_row_88,0.0,16.0
mmlu_abstract_algebra_row_89,0.0,32.0
mmlu_abstract_algebra_row_90,0.0,42.0
mmlu_abstract_algebra_row_91,0.0,10.0
mmlu_abstract_algebra_row_92,0.0,8.0
mmlu_abstract_algebra_row_93,0.0,15.0
mmlu_abstract_algebra_row_94,0.0,28.0
mmlu_abstract_algebra_row_95,0.0,60.0
mmlu_abstract_algebra_row_96,0.0,24.0
mmlu_abstract_algebra_row_97,0.0,20.0
mmlu_abstract_algebra_row_98,0.0,13.0
mmlu_abstract_algebra_row_99,0.0,30.0
mmlu_anatomy_row_0,0.0,15.0
mmlu_anatomy_row_1,0.0,10.0
mmlu_anatomy_row_2,0.0,15.0
mmlu_anatomy_row_3,0.0,10.0
mmlu_anatomy_row_4,0.0,18.0
mmlu_anatomy_row_5,0.0,21.0
mmlu_anatomy_row_6,0.0,15.0
mmlu_anatomy_row_7,0.0,16.0
mmlu_anatomy_row_8,0.0,7.0
mmlu_anatomy_row_9,0.0,6.0
mmlu_anatomy_row_10,0.0,21.0
mmlu_anatomy_row_11,0.0,30.0
mmlu_anatomy_row_12,0.0,12.0
mmlu_anatomy_row_13,0.0,37.0
mmlu_anatomy_row_14,0.0,15.0
mmlu_anatomy_row_15,0.0,13.0
mmlu_anatomy_row_16,0.0,9.0
mmlu_anatomy_row_17,0.0,10.0
mmlu_anatomy_row_18,0.0,14.0
mmlu_anatomy_row_19,0.0,12.0
mmlu_anatomy_row_20,0.0,7.0
mmlu_anatomy_row_21,0.0,11.0
mmlu_anatomy_row_22,0.0,17.0
mmlu_anatomy_row_23,0.0,5.0
mmlu_anatomy_row_24,0.0,5.0
mmlu_anatomy_row_25,0.0,14.0
mmlu_anatomy_row_26,0.0,18.0
mmlu_anatomy_row_27,0.0,12.0
mmlu_anatomy_row_28,0.0,28.0
mmlu_anatomy_row_29,0.0,9.0
mmlu_anatomy_row_30,0.0,16.0
mmlu_anatomy_row_31,0.0,14.0
mmlu_anatomy_row_32,0.0,13.0
mmlu_anatomy_row_33,0.0,13.0
mmlu_anatomy_row_34,0.0,12.0
mmlu_anatomy_row_35,0.0,3.0
mmlu_anatomy_row_36,0.0,23.0
mmlu_anatomy_row_37,0.0,11.0
mmlu_anatomy_row_38,0.0,5.0
mmlu_anatomy_row_39,0.0,26.0
mmlu_anatomy_row_40,0.0,14.0
mmlu_anatomy_row_41,0.0,12.0
mmlu_anatomy_row_42,0.0,19.0
mmlu_anatomy_row_43,0.0,11.0
mmlu_anatomy_row_44,0.0,10.0
mmlu_anatomy_row_45,0.0,8.0
mmlu_anatomy_row_46,0.0,33.0
mmlu_anatomy_row_47,6.0,11.0
mmlu_anatomy_row_48,0.0,5.0
mmlu_anatomy_row_49,0.0,32.0
mmlu_anatomy_row_50,0.0,14.0
mmlu_anatomy_row_51,0.0,12.0
mmlu_anatomy_row_52,0.0,7.0
mmlu_anatomy_row_53,0.0,8.0
mmlu_anatomy_row_54,0.0,4.0
mmlu_anatomy_row_55,0.0,13.0
mmlu_anatomy_row_56,0.0,3.0
mmlu_anatomy_row_57,0.0,21.0
mmlu_anatomy_row_58,0.0,20.0
mmlu_anatomy_row_59,0.0,11.0
mmlu_anatomy_row_60,0.0,19.0
mmlu_anatomy_row_61,0.0,14.0
mmlu_anatomy_row_62,0.0,16.0
mmlu_anatomy_row_63,0.0,16.0
mmlu_anatomy_row_64,0.0,30.0
mmlu_anatomy_row_65,0.0,13.0
mmlu_anatomy_row_66,0.0,16.0
mmlu_anatomy_row_67,0.0,8.0
mmlu_anatomy_row_68,0.0,17.0
mmlu_anatomy_row_69,0.0,50.0
mmlu_anatomy_row_70,0.0,16.0
mmlu_anatomy_row_71,0.0,18.0
mmlu_anatomy_row_72,0.0,12.0
mmlu_anatomy_row_73,0.0,22.0
mmlu_anatomy_row_74,0.0,24.0
mmlu_anatomy_row_75,6.0,46.0
mmlu_anatomy_row_76,0.0,27.0
mmlu_anatomy_row_77,0.0,35.0
mmlu_anatomy_row_78,0.0,14.0
mmlu_anatomy_row_79,0.0,12.0
mmlu_anatomy_row_80,0.0,18.0
mmlu_anatomy_row_81,0.0,17.0
mmlu_anatomy_row_82,0.0,8.0
mmlu_anatomy_row_83,0.0,14.0
mmlu_anatomy_row_84,0.0,16.0
mmlu_anatomy_row_85,0.0,11.0
mmlu_anatomy_row_86,0.0,17.0
mmlu_anatomy_row_87,0.0,5.0
mmlu_anatomy_row_88,0.0,12.0
mmlu_anatomy_row_89,0.0,15.0
mmlu_anatomy_row_90,0.0,9.0
mmlu_anatomy_row_91,0.0,24.0
mmlu_anatomy_row_92,0.0,13.0
mmlu_anatomy_row_93,0.0,3.0
mmlu_anatomy_row_94,0.0,15.0
mmlu_anatomy_row_95,0.0,5.0
mmlu_anatomy_row_96,0.0,10.0
mmlu_anatomy_row_97,0.0,24.0
mmlu_anatomy_row_98,0.0,7.0
mmlu_anatomy_row_99,0.0,17.0
mmlu_anatomy_row_100,0.0,1.0
mmlu_anatomy_row_101,0.0,4.0
mmlu_anatomy_row_102,0.0,11.0
mmlu_anatomy_row_103,0.0,10.0
mmlu_anatomy_row_104,0.0,7.0
mmlu_anatomy_row_105,0.0,8.0
mmlu_anatomy_row_106,0.0,19.0
mmlu_anatomy_row_107,0.0,9.0
mmlu_anatomy_row_108,0.0,15.0
mmlu_anatomy_row_109,0.0,30.0
