model_name,theta,theta_3pl,beta_marginal,beta_partial_text,beta_partial_difficulty,beta_null_mean
01-ai/Yi-1.5-34B,1.4815836,1.3775953,-0.12002356166059111,-0.008836969725909962,0.030809823879796954,-0.10775664800048644
01-ai/Yi-1.5-34B-32K,1.5062704,1.3725448,-0.1232839469320839,-0.008308491301925292,0.028946875109186313,-0.10711034734901861
01-ai/Yi-1.5-34B-Chat,1.107117,1.2353928,-0.1099837373182871,-0.012403822919860766,0.020841446415767635,-0.10606462205559472
01-ai/Yi-1.5-34B-Chat-16K,1.5179385,1.3644321,-0.10995125081978877,0.008284202271806998,0.05439570173046151,-0.10806585623143372
01-ai/Yi-1.5-6B,-0.30107474,-0.27501333,-0.11486983664596039,-0.043521424799625015,-0.015808322954504975,-0.10368523961402805
01-ai/Yi-1.5-6B-Chat,-0.45089933,-0.46602118,-0.10317909925546136,-0.042026249893318504,-0.017164468292831195,-0.10103068826018775
01-ai/Yi-1.5-9B,0.2226055,0.63980377,-0.09722282483745388,-0.009992199058558807,0.0292221805502423,-0.11014007146962063
01-ai/Yi-1.5-9B-32K,0.21623746,0.5720656,-0.08727834271978539,-0.002248255316990219,0.044491828412416334,-0.1093413896378987
01-ai/Yi-1.5-9B-Chat,0.09697299,0.58708346,-0.08210140641236859,-0.0022676529242929705,0.03630494577743487,-0.11335604256423626
01-ai/Yi-1.5-9B-Chat-16K,0.2251492,0.6438389,-0.0945347742342323,-0.014993674757217254,0.022257317995304338,-0.10708221929833986
01-ai/Yi-34B,1.7017317,1.3373893,-0.12186977875882939,-0.02499000614668441,0.016142304267174556,-0.11118312653728404
01-ai/Yi-34B-200K,1.5484703,1.2409508,-0.13354158585820303,-0.03174547155121658,0.007037834848340483,-0.11096623145043764
01-ai/Yi-34B-Chat,1.3313135,1.1460383,-0.13381684254630535,-0.018513350384394063,0.02706441290732536,-0.10659141131098136
152334H/miqu-1-70b-sf,1.2212242,0.7054773,-0.12218286628176234,-0.07295298823207082,-0.06356826279611799,-0.11139200818850682
922-CA/Llama-3-monika-ddlc-8b-v1,-0.17667158,-0.29634234,-0.1145762682691328,-0.07334396290914273,-0.05428068028391022,-0.10721850095621192
922-CA/Llama-3-natsuki-ddlc-8b-v1,-0.20997003,-0.38406795,-0.11040753251935884,-0.04138883697470162,-0.009194378195047311,-0.10527062137363842
922CA/Llama-3-monika-ddlc-11.5b-v1,-0.10924926,-0.2014962,-0.11273701160180624,-0.06739976190512315,-0.046263637092385575,-0.10380675556234908
AIDC-ai-business/Marcoroni-70B,-1.880391,-4.689327,-0.023066098163758306,-0.021531761757896197,-0.023227483999303127,-5.068292799312638e-05
AIDC-ai-business/Marcoroni-70B-v1,0.6935901,0.36361736,-0.11498412440527017,-0.054147153739204895,-0.026678475516666675,-0.10530410876521347
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,-0.5551047,-1.0098829,-0.10402211897140505,-0.04761378841595619,-0.019532795926013088,-0.09704939435991078
AIGym/deepseek-coder-1.3b-chat,-1.79856,-4.6580405,-0.017796571412335177,-0.02260286826666416,-0.021112972977507933,0.006218479283261866
AIGym/deepseek-coder-1.3b-chat-and-function-calling,-1.755738,-4.7238126,0.016584572648412767,0.018424313187682704,0.020472322699109445,0.0013038616715201562
AIGym/deepseek-coder-6.7b-chat,-1.4638921,-2.6437466,-0.03550800377277937,-0.026396097677780905,-0.010837921235973673,-0.03634527413365618
AIGym/deepseek-coder-6.7b-chat-and-function-calling,-1.4637135,-2.5813825,-0.030689088502421722,-0.02009594188228839,-0.003687304684622961,-0.03655389969940779
APMIC/caigun-lora-model-33B,-1.9753021,-4.1712785,-0.026359173134731146,-0.02867172448810651,-0.029393611832042338,0.00020967988168007503
APMIC/caigun-lora-model-34B-v2,1.580939,1.260563,-0.12337216900525493,-0.032922692874477716,0.005046278228581962,-0.11052105111011687
APMIC/caigun-lora-model-34B-v3,1.5338182,1.2219462,-0.12659783268870203,-0.025956854493846427,0.019769990853982792,-0.10784955135174255
