model_name,theta_stem,theta_nonstem,theta_stem_z,theta_nonstem_z,gap_z
01-ai/Yi-1.5-34B,1.7175328,1.4212587,1.943241,1.3281113,0.6151297
01-ai/Yi-1.5-34B-32K,1.7272663,1.4254801,1.9534833,1.3319863,0.62149704
01-ai/Yi-1.5-34B-Chat,1.430773,1.0055563,1.6414932,0.9465228,0.6949704
01-ai/Yi-1.5-34B-Chat-16K,1.6812536,1.4551264,1.9050657,1.3591996,0.545866
01-ai/Yi-1.5-6B,-0.120830886,-0.38341656,0.00879158,-0.32846645,0.337258
01-ai/Yi-1.5-6B-Chat,-0.23229425,-0.5223271,-0.10849764,-0.45597756,0.3474799
01-ai/Yi-1.5-9B,0.5443326,0.14601712,0.7087212,0.1575202,0.551201
01-ai/Yi-1.5-9B-32K,0.5316223,0.15337953,0.69534653,0.16427843,0.5310681
01-ai/Yi-1.5-9B-Chat,0.45090297,0.0037521506,0.61040825,0.026929954,0.5834783
01-ai/Yi-1.5-9B-Chat-16K,0.54708034,0.1704833,0.7116125,0.17997861,0.5316339
01-ai/Yi-34B,1.4432873,1.819817,1.6546615,1.6939625,-0.03930092
01-ai/Yi-34B-200K,1.3394201,1.6252854,1.5453656,1.5153948,0.029970765
01-ai/Yi-34B-Chat,1.0496157,1.4169177,1.240414,1.3241265,-0.08371246
152334H/miqu-1-70b-sf,0.8661497,1.3783468,1.0473588,1.2887208,-0.2413621
922-CA/Llama-3-monika-ddlc-8b-v1,-0.26198268,-0.14124922,-0.1397378,-0.10617214,-0.033565663
922-CA/Llama-3-natsuki-ddlc-8b-v1,-0.26830748,-0.23400192,-0.14639318,-0.19131324,0.044920057
922CA/Llama-3-monika-ddlc-11.5b-v1,-0.18373138,-0.09570384,-0.05739653,-0.06436436,0.0069678277
AIDC-ai-business/Marcoroni-70B,-1.7214302,-1.991209,-1.6754663,-1.8043182,0.12885189
AIDC-ai-business/Marcoroni-70B-v1,0.19934934,0.8660048,0.3457067,0.8184234,-0.4727167
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,-0.67253315,-0.53917545,-0.5717465,-0.4714432,-0.10030332
AIGym/deepseek-coder-1.3b-chat,-1.6300148,-1.886182,-1.5792729,-1.7079101,0.1286372
