model_name,theta_score
CausalLM/34b-beta,3.1440434
NeverSleep/CausalLM-RP-34B,2.7710285
Qwen/Qwen2-72B,2.5639029
ParasiticRogue/Merged-RP-Stew-V2-34B,2.198441
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,2.1685777
fblgit/una-xaberius-34b-v1beta,2.166349
dfurman/HermesBagel-34B-v0.1,2.1331358
cloudyu/Mixtral_34Bx2_MoE_60B,2.127481
brucethemoose/Yi-34B-200K-DARE-merge-v5,2.1161578
Weyaxi/Bagel-Hermes-34B-Slerp,2.1106946
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,2.1098902
brucethemoose/Yi-34B-200K-DARE-megamerge-v8,2.0943062
Qwen/Qwen1.5-110B,2.0930402
brucethemoose/Yi-34B-200K-DARE-merge-v7,2.0910213
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,2.0906925
kyujinpy/PlatYi-34B-Llama-Q,2.084239
kyujinpy/PlatYi-34B-LoRA,2.0709844
kyujinpy/PlatYi-34B-Llama-Q-FastChat,2.0670848
TeeZee/Kyllene-34B-v1.1,2.0471046
abacusai/Smaug-34B-v0.1,1.9966593
abacusai/Smaugv0.1,1.9927425
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,1.9887958
louisbrulenaudet/Pearl-34B-ties,1.987682
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,1.987037
fblgit/UNA-SimpleSmaug-34b-v1beta,1.9840288
louisbrulenaudet/Maxine-34B-stock,1.9836956
senseable/Wilbur-30B,1.9754024
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,1.9740335
mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,1.9735395
ConvexAI/Luminex-34B-v0.2,1.972023
davidkim205/Rhea-72b-v0.2,1.9701945
macadeliccc/SmaugDolphin-60B,1.9699415
kyujinpy/PlatYi-34B-Llama,1.9626646
davidkim205/Rhea-72b-v0.4,1.9587551
jondurbin/bagel-dpo-34b-v0.2,1.9568691
abacusai/MetaMath-Bagel-DPO-34B,1.9484962
kyujinpy/PlatYi-34B-Q,1.9262998
NeverSleep/Llama-3-Lumimaid-70B-v0.1,1.9159029
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,1.9151484
abhishek/autotrain-llama3-70b-orpo-v2,1.912745
abhishek/autotrain-llama3-70b-orpo-v1,1.9110818
louisbrulenaudet/Pearl-34B-dare,1.9072706
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.9069433
sumo43/Yi-34b-x2,1.9058764
meta-llama/Meta-Llama-3-70B-Instruct,1.9027753
NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,1.8999068
failspy/llama-3-70B-Instruct-abliterated,1.8970876
