model_name,family,size_b,coarse_cluster,fine_cluster,accuracy_overall,accuracy_stem,accuracy_nonstem,rank_overall,rank_stem,rank_nonstem
01-ai/Yi-1.5-34B,yi,34.0,yi:16-40B,yi-1-5-34b,0.7714001,0.71994925,0.7862981,90,25,123
01-ai/Yi-1.5-34B-32K,yi,34.0,yi:16-40B,yi-1-5-34b-32k,0.77560174,0.7256581,0.7900634,60,19,106
01-ai/Yi-1.5-34B-Chat,yi,34.0,yi:16-40B,yi-1-5-34b-chat,0.765062,0.7209007,0.7778492,112,24,150
01-ai/Yi-1.5-34B-Chat-16K,yi,34.0,yi:16-40B,yi-1-5-34b-chat-16k,0.77780944,0.7243895,0.7932776,46,22,93
01-ai/Yi-1.5-6B,yi,6.0,yi:4-9B,yi-1-5-6b,0.63623416,0.5759594,0.6536872,603,349,648
01-ai/Yi-1.5-6B-Chat,yi,6.0,yi:4-9B,yi-1-5-6b-chat,0.62790203,0.56898195,0.6449628,644,386,689
01-ai/Yi-1.5-9B,yi,9.0,yi:9-16B,yi-1-5-9b,0.6942031,0.6447827,0.7085132,290,176,344
01-ai/Yi-1.5-9B-32K,yi,9.0,yi:9-16B,yi-1-5-9b-32k,0.6932773,0.6419283,0.70814586,303,181,347
01-ai/Yi-1.5-9B-Chat,yi,9.0,yi:9-16B,yi-1-5-9b-chat,0.69534254,0.6504916,0.7083295,283,167,346
01-ai/Yi-1.5-9B-Chat-16K,yi,9.0,yi:9-16B,yi-1-5-9b-chat-16k,0.6976214,0.64383125,0.7131968,271,178,334
01-ai/Yi-34B,yi,34.0,yi:16-40B,yi-34b,0.76420736,0.6784015,0.7890532,115,118,111
01-ai/Yi-34B-200K,yi,34.0,yi:16-40B,yi-34b-200k,0.75751317,0.66698384,0.7837267,130,138,129
01-ai/Yi-34B-Chat,yi,34.0,yi:16-40B,yi-34b-chat,0.7495371,0.65302885,0.77748185,158,162,152
152334H/miqu-1-70b-sf,llama,70.0,llama:40-80B,miqu-1-70b,0.75509185,0.65556616,0.7839104,137,159,127
922-CA/Llama-3-monika-ddlc-8b-v1,llama,8.0,llama:4-9B,llama-3-monika-ddlc-8b,0.64057827,0.5455122,0.6681054,576,568,585
922-CA/Llama-3-natsuki-ddlc-8b-v1,llama,8.0,llama:4-9B,llama-3-natsuki-ddlc-8b,0.63281584,0.5448779,0.658279,627,570,633
922CA/Llama-3-monika-ddlc-11.5b-v1,llama,11.5,llama:9-16B,llama-3-monika-ddlc-11-5b,0.6522575,0.5607358,0.6787584,496,462,505
AIDC-ai-business/Marcoroni-70B,unclassified,70.0,unclassified:40-80B,marcoroni-70b,0.2409201,0.2286711,0.24446689,969,973,962
AIDC-ai-business/Marcoroni-70B-v1,unclassified,70.0,unclassified:40-80B,marcoroni-70b,0.7142145,0.58928007,0.7503903,185,268,183
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,mixtral,56.0,mixtral:40-80B,radiantloom-mixtral-8x7b-fusion,0.59457344,0.49127814,0.6244834,721,734,719
AIGym/deepseek-coder-1.3b-chat,deepseek,1.3,deepseek:1-4B,deepseek-coder-1-3b-chat,0.25786924,0.25943545,0.25741574,938,942,938
AIGym/deepseek-coder-1.3b-chat-and-function-calling,deepseek,1.3,deepseek:1-4B,deepseek-coder-1-3b-chat-and-function-calling,0.26734084,0.28385663,0.26255855,931,914,935
AIGym/deepseek-coder-6.7b-chat,deepseek,6.7,deepseek:4-9B,deepseek-coder-6-7b-chat,0.3672554,0.3434824,0.37413904,892,875,893
AIGym/deepseek-coder-6.7b-chat-and-function-calling,deepseek,6.7,deepseek:4-9B,deepseek-coder-6-7b-chat-and-function-calling,0.36682808,0.35077703,0.37147582,893,867,895
APMIC/caigun-lora-model-33B,unclassified,33.0,unclassified:16-40B,caigun-lora-model-33b,0.22945449,0.21249604,0.23436496,988,990,988
APMIC/caigun-lora-model-34B-v2,unclassified,34.0,unclassified:16-40B,caigun-lora-model-34b,0.7554479,0.66761816,0.7808798,136,135,146
APMIC/caigun-lora-model-34B-v3,unclassified,34.0,unclassified:16-40B,caigun-lora-model-34b,0.7542373,0.66064066,0.781339,142,148,143
AbacusResearch/Jallabi-34B,unclassified,34.0,unclassified:16-40B,jallabi-34b,0.76306796,0.68728197,0.7850124,120,96,124
Aeala/GPT4-x-AlpacaDente-30b,llama,30.0,llama:16-40B,gpt4-x-alpacadente-30b,0.55412334,0.45163336,0.58380014,786,801,784
Aeala/GPT4-x-AlpacaDente2-30b,llama,30.0,llama:16-40B,gpt4-x-alpacadente2-30b,0.5643783,0.4490961,0.5977592,774,808,774
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,mixtral,56.0,mixtral:40-80B,mixtral-8x7b-instruct-v0-1-upscaled,0.7006124,0.599112,0.73000276,255,236,259
Aratako/c4ai-command-r-v01-japanese-instruct,unclassified,,unclassified:unknown,c4ai-command-r-v01-japanese-instruct,0.67582965,0.55502695,0.71080905,352,510,339
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,unclassified,30.0,unclassified:16-40B,vicuzard-30b-uncensored-instruct-pl-lora-unload,0.57463324,0.44973043,0.6107999,761,806,752
Aspik101/llama-30b-2048-instruct-PL-lora_unload,llama,30.0,llama:16-40B,llama-30b-2048-instruct-pl-lora-unload,0.61038315,0.5036473,0.64128935,700,713,693
Aspik101/llama-30b-instruct-2048-PL-lora,llama,30.0,llama:16-40B,llama-30b-instruct-2048-pl-lora,0.611665,0.5058674,0.6422996,696,711,692
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,llama,8.0,llama:4-9B,awanllm-llama-3-8b-cumulus,0.61629397,0.535046,0.63982,686,617,695
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,llama,8.0,llama:4-9B,awanllm-llama-3-8b-dolfin,0.64449507,0.5623216,0.6682891,547,449,583
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,llama,8.0,llama:4-9B,awanllm-llama-3-8b-dolfin-v0-3-dpo,0.47557327,0.41833174,0.49214804,842,835,843
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,llama,8.0,llama:4-9B,awanllm-llama-3-8b-dolfin-v0-6-abliterated,0.65453637,0.5692991,0.6792176,464,382,494
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,llama,8.0,llama:4-9B,awanllm-llama-3-8b-instruct-dpo,0.6502635,0.5547098,0.67793185,518,515,514
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,llama,8.0,llama:4-9B,awanllm-llama-3-8b-instruct-dpo,0.512249,0.43292102,0.535219,829,824,829
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,llama,8.0,llama:4-9B,awanllm-llama-3-8b-instruct-orpo,0.6513317,0.55344117,0.6796767,513,528,489
AwanLLM/Llama-3-8B-Cumulus-v0.1,llama,8.0,llama:4-9B,llama-3-8b-cumulus,0.61273324,0.5236283,0.6385343,694,669,702
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,llama,8.0,llama:4-9B,llama-3-8b-dolfin-v0-2-instruct,0.64862555,0.5569299,0.6751768,527,495,531
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct-dolfin,0.64805585,0.5559784,0.6747176,528,504,535
Azure99/blossom-v3_1-yi-34b,yi,34.0,yi:16-40B,blossom-v3-1-yi-34b,0.74626124,0.66127497,0.7708697,164,147,164
Azure99/blossom-v4-yi-34b,yi,34.0,yi:16-40B,blossom-v4-yi-34b,0.7434126,0.64858866,0.7708697,167,173,164
Azure99/blossom-v5-34b,unclassified,34.0,unclassified:16-40B,blossom-v5-34b,0.7661302,0.6688868,0.7942878,110,129,90
Azure99/blossom-v5.1-34b,unclassified,34.0,unclassified:16-40B,blossom-v5-1-34b,0.7785216,0.7250238,0.7940123,45,20,92
BAAI/Aquila2-34B,unclassified,34.0,unclassified:16-40B,aquila2-34b,0.76905,0.66634953,0.7987878,100,139,63
BEE-spoke-data/Meta-Llama-3-8Bee,llama,,llama:unknown,meta-llama-3-8bee,0.6454209,0.5540755,0.6718707,545,520,557
BEE-spoke-data/Mixtral-GQA-400m-v2,mixtral,0.4,mixtral:<1B,mixtral-gqa-400m,0.26143,0.28131938,0.25567088,936,919,941
Ba2han/Llama-Phi-3_DoRA,llama,,llama:unknown,llama-phi-3-dora,0.69199544,0.6067237,0.71668655,312,216,329
BarraHome/llama-3-orpo-v1-merged_16bit,llama,,llama:unknown,llama-3-orpo-v1-merged-16bit,0.24177468,0.23342848,0.24419138,967,970,965
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,mixtral,56.0,mixtral:40-80B,instruct-mixtral-8x7b-v0-1-dolly15k,0.7033186,0.6054551,0.7316558,237,221,248
CalderaAI/30B-Epsilon,unclassified,30.0,unclassified:16-40B,30b-epsilon,0.55747044,0.45765936,0.58637154,783,788,781
CalderaAI/30B-Lazarus,unclassified,30.0,unclassified:16-40B,30b-lazarus,0.555334,0.45639074,0.58398384,785,794,782
CallComply/SOLAR-10.7B-Instruct-v1.0-128k,solar,10.7,solar:9-16B,solar-10-7b-instruct-v1-0-128k,0.5643071,0.4671741,0.59243274,775,761,777
Cartinoe5930/SOLAR-DUS-implement,solar,,solar:unknown,solar-dus-implement,0.61843044,0.522994,0.6460648,681,671,685
CausalLM/34b-beta,unclassified,34.0,unclassified:16-40B,34b-beta,0.86575985,0.8198541,0.8790523,1,1,1
CausalLM/72B-preview,unclassified,72.0,unclassified:40-80B,72b-preview,0.7691212,0.70313984,0.78822666,99,48,115
CausalLM/72B-preview-canary-llamafied-qwen-llamafy-unbias-qkv,llama,72.0,llama:40-80B,72b-preview-canary-llamafied-qwen-llamafy-unbias-qkv,0.6728386,0.59308594,0.6959317,355,260,374
CausalLM/72B-preview-llamafied-qwen-llamafy,llama,72.0,llama:40-80B,72b-preview-llamafied-qwen-llamafy,0.7691924,0.7021884,0.788594,98,51,113
Changgil/K2S3-SOLAR-11b-v1.0,solar,11.0,solar:9-16B,k2s3-solar-11b,0.29717988,0.27307326,0.30416015,912,932,911
Changgil/K2S3-SOLAR-11b-v2.0,solar,11.0,solar:9-16B,k2s3-solar-11b,0.364478,0.32254994,0.3766186,895,888,891
Changgil/K2S3-SOLAR-11b-v3.0,solar,11.0,solar:9-16B,k2s3-solar-11b,0.643142,0.5455122,0.6714115,561,568,562
Changgil/K2S3-SOLAR-11b-v4.0,solar,11.0,solar:9-16B,k2s3-solar-11b,0.6398661,0.53663176,0.6697585,581,611,576
ChavyvAkvar/llama-3-habib,llama,,llama:unknown,llama-3-habib,0.6064663,0.5172851,0.63228947,708,690,710
ChavyvAkvar/llama-3-lumimaid-habib,llama,,llama:unknown,llama-3-lumimaid-habib,0.6488392,0.55502695,0.6760033,525,510,528
ChavyvAkvar/llama-3-lumimaid-habib-v3,llama,,llama:unknown,llama-3-lumimaid-habib,0.64485115,0.55724704,0.67021763,546,487,570
ChavyvAkvar/llama-3-lumimaid-habib-v5,llama,,llama:unknown,llama-3-lumimaid-habib,0.6476998,0.5635902,0.67205435,531,436,554
ChavyvAkvar/llama-3-lumimaid-habib-v7,llama,,llama:unknown,llama-3-lumimaid-habib,0.6520439,0.55788136,0.67930937,503,482,493
Chickaboo/Chicka-Mixtral-3x7b,mixtral,21.0,mixtral:16-40B,chicka-mixtral-3x7b,0.6350235,0.53377736,0.66434014,609,626,601
ChuckMcSneed/ArcaneEntanglement-model64-70b,unclassified,70.0,unclassified:40-80B,arcaneentanglement-model64-70b,0.7108674,0.5864256,0.74690056,195,276,190
ChuckMcSneed/Gembo-v1-70b,unclassified,70.0,unclassified:40-80B,gembo-v1-70b,0.7128614,0.5940374,0.7472679,190,257,189
ChuckMcSneed/Gembo-v1.1-70b,unclassified,70.0,unclassified:40-80B,gembo-v1-1-70b,0.7100128,0.591183,0.74442095,197,267,197
ChuckMcSneed/PMaxxxer-v1-70b,unclassified,70.0,unclassified:40-80B,pmaxxxer-v1-70b,0.70581114,0.5823026,0.74157405,212,299,205
ChuckMcSneed/SMaxxxer-v1-70b,unclassified,70.0,unclassified:40-80B,smaxxxer-v1-70b,0.7070218,0.58610845,0.74203324,209,277,203
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,unclassified,70.0,unclassified:40-80B,wintergoddess-1-4x-70b-32k,0.65866685,0.54456073,0.69170725,427,573,406
CohereForAI/c4ai-command-r-plus,unclassified,,unclassified:unknown,c4ai-command-r-plus,0.73700327,0.6384396,0.7655432,174,185,174
CohereForAI/c4ai-command-r-v01,unclassified,,unclassified:unknown,c4ai-command-r,0.68138444,0.55661273,0.7175131,344,497,326
Columbia-NLP/gemma-2b-zephyr-dpo,gemma,2.0,gemma:1-4B,gemma-2b-zephyr-dpo,0.42244694,0.36948937,0.43778124,852,855,850
Columbia-NLP/gemma-2b-zephyr-sft,gemma,2.0,gemma:1-4B,gemma-2b-zephyr-sft,0.42330152,0.36726928,0.43952614,851,856,848
ConvexAI/Luminex-34B-v0.1,unclassified,34.0,unclassified:16-40B,luminex-34b,0.7724683,0.6920393,0.7957572,84,80,84
ConvexAI/Luminex-34B-v0.2,unclassified,34.0,unclassified:16-40B,luminex-34b,0.7751033,0.6891849,0.79998165,64,91,56
ConvexAI/Luminex-72B-v0.1,unclassified,72.0,unclassified:40-80B,luminex-72b,0.72931206,0.6590549,0.7496556,179,150,186
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,mixtral,56.0,mixtral:40-80B,clex-mixtral-8x7b-chat-32k,0.6921379,0.59657466,0.719809,310,248,316
DBCMLAB/Llama-3-instruction-constructionsafety-layertuning,llama,,llama:unknown,llama-3-instruction-constructionsafety-layertuning,0.5439396,0.45321915,0.5702085,800,798,795
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,llama,8.0,llama:4-9B,llama-3-8b-ultra-instruct-saltsprinkle,0.66621566,0.5661275,0.695197,389,414,380
DataLinguistic/DataLinguistic-34B-V1.0,unclassified,34.0,unclassified:16-40B,datalinguistic-34b,0.22945449,0.21249604,0.23436496,988,990,988
DeepMount00/Llama-3-8b-Ita,llama,8.0,llama:4-9B,llama-3-8b-ita,0.66614443,0.5784967,0.69152355,391,327,408
DeepMount00/Phi-3-Large-5.6b,phi,5.6,phi:4-9B,phi-3-large-5-6b,0.22945449,0.21249604,0.23436496,988,990,988
DeepMount00/Phi-3-Mini-4K-Boost,phi,,phi:unknown,phi-3-mini-4k-boost,0.6759009,0.58928007,0.70098263,351,268,355
DeepMount00/Phi-3-Mini-4K-Boost_v2,phi,,phi:unknown,phi-3-mini-4k-boost,0.22945449,0.21249604,0.23436496,988,990,988
DenLabs/llama-3-7B-DenBot,llama,7.0,llama:4-9B,llama-3-7b-denbot,0.58417606,0.48842373,0.61190194,743,737,748
DiscoResearch/DiscoLM-70b,unclassified,70.0,unclassified:40-80B,discolm-70b,0.68052983,0.5658103,0.7137478,345,417,333
Doctor-Shotgun/mythospice-70b,unclassified,70.0,unclassified:40-80B,mythospice-70b,0.6990457,0.57691085,0.7344109,261,340,237
Doctor-Shotgun/mythospice-limarp-70b,unclassified,70.0,unclassified:40-80B,mythospice-limarp-70b,0.6996154,0.57817954,0.7347782,260,330,235
DopeorNope/COKAL-v1-70B,unclassified,70.0,unclassified:40-80B,cokal-v1-70b,0.6929212,0.5623216,0.73073745,304,449,255
DopeorNope/SOLARC-M-10.7B,solar,10.7,solar:9-16B,solarc-m-10-7b,0.6532545,0.56485885,0.67885023,482,427,502
DopeorNope/SOLARC-MOE-10.7Bx4,solar,,solar:unknown,solarc-moe-10-7bx4,0.6528272,0.5645417,0.67839104,489,430,509
DopeorNope/SOLARC-MOE-10.7Bx6,solar,,solar:unknown,solarc-moe-10-7bx6,0.6542515,0.5658103,0.6798604,466,417,484
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,yi,34.0,yi:16-40B,chatallinone-yi-34b-200k,0.7396382,0.6397082,0.76857376,172,184,167
DrNicefellow/Mistral-1-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-1-from-mixtral-8x7b,0.24953711,0.27243894,0.24290569,956,933,969
DrNicefellow/Mistral-2-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-2-from-mixtral-8x7b,0.24440964,0.24421187,0.24446689,965,962,962
DrNicefellow/Mistral-3-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-3-from-mixtral-8x7b,0.2562313,0.276562,0.2503444,942,929,948
DrNicefellow/Mistral-4-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-4-from-mixtral-8x7b,0.25231448,0.26387566,0.24896684,949,937,953
DrNicefellow/Mistral-5-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-5-from-mixtral-8x7b,0.25074777,0.27148747,0.2447424,952,934,960
DrNicefellow/Mistral-6-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-6-from-mixtral-8x7b,0.25274178,0.28766254,0.24263018,946,908,970
DrNicefellow/Mistral-7-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-7-from-mixtral-8x7b,0.25281298,0.27117032,0.24749747,945,935,956
DrNicefellow/Mistral-8-from-Mixtral-8x7B-v0.1,mixtral,56.0,mixtral:40-80B,mistral-8-from-mixtral-8x7b,0.25017804,0.26514432,0.24584442,954,936,958
DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567,mixtral,42.0,mixtral:40-80B,mixtral-6x7b-instruct-v0-1-bfloat16-trimmed024567,0.51744765,0.44624168,0.5380659,827,811,828
ENERGY-DRINK-LOVE/SOLAR_merge2_dpo,solar,,solar:unknown,solar-merge2-dpo,0.6350235,0.5394862,0.6626871,609,592,610
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,llama,8.0,llama:4-9B,llama-3-8b-instruct-ortho-baukit-toxic-n128,0.6536818,0.56422454,0.6795849,474,433,491
