model_name,theta_score,accuracy_overall,accuracy_stem,accuracy_nonstem,reasoning_sensitivity,semantic_sensitivity
CausalLM/34b-beta,3.1440434,0.86576,0.819854,0.879052,-0.094692,-0.091543
NeverSleep/CausalLM-RP-34B,2.7710285,0.840122,0.781161,0.857195,-0.102451,-0.105094
Qwen/Qwen2-72B,2.5639029,0.842045,0.810339,0.851226,-0.110037,-0.056214
ParasiticRogue/Merged-RP-Stew-V2-34B,2.198441,0.781869,0.699017,0.805859,-0.128821,-0.126276
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,2.1685777,0.77959,0.698382,0.803104,-0.128672,-0.108248
fblgit/una-xaberius-34b-v1beta,2.166349,0.791127,0.71202,0.814033,-0.122784,-0.110519
dfurman/HermesBagel-34B-v0.1,2.1331358,0.779305,0.693942,0.804022,-0.128931,-0.113537
cloudyu/Mixtral_34Bx2_MoE_60B,2.127481,0.78016,0.693942,0.805124,-0.138679,-0.096136
brucethemoose/Yi-34B-200K-DARE-merge-v5,2.1161578,0.777596,0.691405,0.802553,-0.139302,-0.105771
Weyaxi/Bagel-Hermes-34B-Slerp,2.1106946,0.778664,0.690454,0.804206,-0.134787,-0.114965
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,2.1098902,0.779803,0.692356,0.805124,-0.140653,-0.098951
brucethemoose/Yi-34B-200K-DARE-megamerge-v8,2.0943062,0.775673,0.690454,0.800349,-0.140207,-0.104221
Qwen/Qwen1.5-110B,2.0930402,0.809999,0.750079,0.827349,-0.110275,-0.060147
brucethemoose/Yi-34B-200K-DARE-merge-v7,2.0910213,0.777026,0.692674,0.801451,-0.138568,-0.102459
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,2.0906925,0.77902,0.69648,0.80292,-0.125387,-0.107508
kyujinpy/PlatYi-34B-Llama-Q,2.084239,0.789916,0.72661,0.808247,-0.11681,-0.115468
kyujinpy/PlatYi-34B-LoRA,2.0709844,0.789061,0.716461,0.810084,-0.119227,-0.125128
kyujinpy/PlatYi-34B-Llama-Q-FastChat,2.0670848,0.788563,0.718046,0.808982,-0.115978,-0.086593
TeeZee/Kyllene-34B-v1.1,2.0471046,0.776029,0.692039,0.800349,-0.134316,-0.10621
abacusai/Smaug-34B-v0.1,1.9966593,0.775459,0.689502,0.800349,-0.12986,-0.134915
abacusai/Smaugv0.1,1.9927425,0.775459,0.689502,0.800349,-0.12986,-0.134915
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,1.9887958,0.803518,0.745322,0.820369,-0.112949,-0.081021
louisbrulenaudet/Pearl-34B-ties,1.987682,0.773038,0.68411,0.798788,-0.136899,-0.1153
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,1.987037,0.803447,0.746273,0.820002,-0.106292,-0.076775
fblgit/UNA-SimpleSmaug-34b-v1beta,1.9840288,0.7761,0.690136,0.800992,-0.126428,-0.138382
louisbrulenaudet/Maxine-34B-stock,1.9836956,0.775459,0.687916,0.800808,-0.125942,-0.135248
senseable/Wilbur-30B,1.9754024,0.776029,0.689502,0.801084,-0.128575,-0.136713
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,1.9740335,0.802735,0.745956,0.819175,-0.109337,-0.079512
mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,1.9735395,0.801809,0.744053,0.818532,-0.111937,-0.084687
ConvexAI/Luminex-34B-v0.2,1.972023,0.775103,0.689185,0.799982,-0.128047,-0.136778
davidkim205/Rhea-72b-v0.2,1.9701945,0.78899,0.710752,0.811645,-0.111589,-0.087343
macadeliccc/SmaugDolphin-60B,1.9699415,0.774249,0.68411,0.800349,-0.13504,-0.136648
kyujinpy/PlatYi-34B-Llama,1.9626646,0.785714,0.717729,0.8054,-0.117994,-0.115472
davidkim205/Rhea-72b-v0.4,1.9587551,0.789916,0.708532,0.813481,-0.110534,-0.092257
jondurbin/bagel-dpo-34b-v0.2,1.9568691,0.772397,0.683159,0.798237,-0.131508,-0.113167
abacusai/MetaMath-Bagel-DPO-34B,1.9484962,0.774462,0.686965,0.799798,-0.128476,-0.142618
kyujinpy/PlatYi-34B-Q,1.9262998,0.781584,0.705677,0.803563,-0.129502,-0.129778
NeverSleep/Llama-3-Lumimaid-70B-v0.1,1.9159029,0.801239,0.733587,0.820828,-0.120553,-0.110773
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,1.9151484,0.799245,0.73549,0.817706,-0.107377,-0.092181
abhishek/autotrain-llama3-70b-orpo-v2,1.912745,0.800028,0.737076,0.818257,-0.11137,-0.091775
abhishek/autotrain-llama3-70b-orpo-v1,1.9110818,0.800242,0.738027,0.818257,-0.11467,-0.082385
louisbrulenaudet/Pearl-34B-dare,1.9072706,0.770546,0.683793,0.795665,-0.136736,-0.113011
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.9069433,0.774035,0.686965,0.799247,-0.137441,-0.119959
sumo43/Yi-34b-x2,1.9058764,0.771899,0.683793,0.79741,-0.12825,-0.107693
meta-llama/Meta-Llama-3-70B-Instruct,1.9027753,0.798319,0.734539,0.816788,-0.110774,-0.095014
NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,1.8999068,0.802094,0.729781,0.823032,-0.117289,-0.104536
failspy/llama-3-70B-Instruct-abliterated,1.8970876,0.797251,0.734539,0.81541,-0.116654,-0.071672
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.8960981,0.773323,0.68633,0.798512,-0.128704,-0.143343
davidkim205/Rhea-72b-v0.5,1.8887008,0.789061,0.706946,0.812839,-0.117455,-0.088389
SF-Foundation/Ein-70B-v2,1.8847858,0.789987,0.708214,0.813665,-0.115855,-0.082524
jondurbin/bagel-34b-v0.2,1.883274,0.770902,0.681573,0.796767,-0.144691,-0.109435
tenyx/Llama3-TenyxChat-70B,1.8819631,0.798818,0.736441,0.816879,-0.099104,-0.086721
davidkim205/Rhea-72b-v0.3,1.8539699,0.779803,0.697748,0.803563,-0.113384,-0.087283
ConvexAI/Luminex-34B-v0.1,1.8521501,0.772468,0.692039,0.795757,-0.133203,-0.151261
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.845543,0.771471,0.682842,0.797135,-0.137645,-0.107935
abacusai/MM-Orc-Vic-bagel-34b-c1000,1.8417144,0.770474,0.680939,0.7964,-0.133615,-0.130819
kyujinpy/PlatYi-34B-Llama-Q-v2,1.8200818,0.770332,0.683476,0.795482,-0.123905,-0.094208
brucethemoose/CapyTessBorosYi-34B-200K-DARE-Ties,1.8150845,0.765632,0.676181,0.791533,-0.129772,-0.102041
wenbopan/Faro-Yi-34B,1.814637,0.76905,0.687916,0.792543,-0.114231,-0.126293
wenbopan/Faro-Yi-34B-200K,1.8059337,0.76905,0.687916,0.792543,-0.114231,-0.126293
shenzhi-wang/Llama3-70B-Chinese-Chat,1.8028786,0.795328,0.725024,0.815686,-0.119421,-0.0796
mncai/yi-34B-v3,1.7958705,0.764848,0.672693,0.791533,-0.130167,-0.126257
Azure99/blossom-v5-34b,1.79061,0.76613,0.668887,0.794288,-0.133452,-0.127745
mncai/yi-34B-v2,1.7816261,0.764279,0.669838,0.791625,-0.134562,-0.129263
