model_name,theta_rasch
01-ai/Yi-1.5-34B,1.7822378
01-ai/Yi-1.5-34B-32K,1.8012949
01-ai/Yi-1.5-34B-Chat,1.703008
01-ai/Yi-1.5-34B-Chat-16K,1.8340541
01-ai/Yi-1.5-6B,0.70099163
01-ai/Yi-1.5-6B-Chat,0.6233481
01-ai/Yi-1.5-9B,1.1173018
01-ai/Yi-1.5-9B-32K,1.1183245
01-ai/Yi-1.5-9B-Chat,1.1362242
01-ai/Yi-1.5-9B-Chat-16K,1.1463622
01-ai/Yi-34B,1.704582
01-ai/Yi-34B-200K,1.6393026
01-ai/Yi-34B-Chat,1.5799444
152334H/miqu-1-70b-sf,1.6249218
922-CA/Llama-3-monika-ddlc-8b-v1,0.71746594
922-CA/Llama-3-natsuki-ddlc-8b-v1,0.6817856
922CA/Llama-3-monika-ddlc-11.5b-v1,0.79233253
AIDC-ai-business/Marcoroni-70B,-1.9531394
AIDC-ai-business/Marcoroni-70B-v1,1.2948306
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,0.40745962
AIGym/deepseek-coder-1.3b-chat,-1.840728
AIGym/deepseek-coder-1.3b-chat-and-function-calling,-1.7546211
AIGym/deepseek-coder-6.7b-chat,-1.0955411
AIGym/deepseek-coder-6.7b-chat-and-function-calling,-1.0912689
APMIC/caigun-lora-model-33B,-2.0375357
APMIC/caigun-lora-model-34B-v2,1.6302524
APMIC/caigun-lora-model-34B-v3,1.6127743
AbacusResearch/Jallabi-34B,1.7101264
Aeala/GPT4-x-AlpacaDente-30b,0.12522104
Aeala/GPT4-x-AlpacaDente2-30b,0.19539675
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,1.1731688
Aratako/c4ai-command-r-v01-japanese-instruct,0.993585
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,0.253686
Aspik101/llama-30b-2048-instruct-PL-lora_unload,0.5154904
Aspik101/llama-30b-instruct-2048-PL-lora,0.52222097
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,0.5413834
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,0.75287205
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,-0.39479142
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,0.82916254
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,0.79102075
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,-0.17662822
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,0.7890048
AwanLLM/Llama-3-8B-Cumulus-v0.1,0.52486676
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,0.78378123
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,0.7788584
Azure99/blossom-v3_1-yi-34b,1.5421338
Azure99/blossom-v4-yi-34b,1.5230014
Azure99/blossom-v5-34b,1.7172025
Azure99/blossom-v5.1-34b,1.8307973
BAAI/Aquila2-34B,1.7405202
BEE-spoke-data/Meta-Llama-3-8Bee,0.76794344
BEE-spoke-data/Mixtral-GQA-400m-v2,-1.7982364
Ba2han/Llama-Phi-3_DoRA,1.1206477
BarraHome/llama-3-orpo-v1-merged_16bit,-1.94027
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,1.1872631
CalderaAI/30B-Epsilon,0.13705531
CalderaAI/30B-Lazarus,0.14036569
CallComply/SOLAR-10.7B-Instruct-v1.0-128k,0.19941613
Cartinoe5930/SOLAR-DUS-implement,0.5649788
CausalLM/34b-beta,2.7556012
CausalLM/72B-preview,1.7471358
CausalLM/72B-preview-canary-llamafied-qwen-llamafy-unbias-qkv,0.9593903
CausalLM/72B-preview-llamafied-qwen-llamafy,1.7517018
Changgil/K2S3-SOLAR-11b-v1.0,-1.5630822
Changgil/K2S3-SOLAR-11b-v2.0,-1.108592
Changgil/K2S3-SOLAR-11b-v3.0,0.74498487
Changgil/K2S3-SOLAR-11b-v4.0,0.705121
ChavyvAkvar/llama-3-habib,0.48131278
ChavyvAkvar/llama-3-lumimaid-habib,0.77891743
ChavyvAkvar/llama-3-lumimaid-habib-v3,0.7377147
ChavyvAkvar/llama-3-lumimaid-habib-v5,0.78689086
ChavyvAkvar/llama-3-lumimaid-habib-v7,0.8177831
Chickaboo/Chicka-Mixtral-3x7b,0.6837618
ChuckMcSneed/ArcaneEntanglement-model64-70b,1.2709574
ChuckMcSneed/Gembo-v1-70b,1.2720972
ChuckMcSneed/Gembo-v1.1-70b,1.2665668
ChuckMcSneed/PMaxxxer-v1-70b,1.2387215
ChuckMcSneed/SMaxxxer-v1-70b,1.2325213
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,0.85784394
CohereForAI/c4ai-command-r-plus,1.4728469
CohereForAI/c4ai-command-r-v01,1.031714
Columbia-NLP/gemma-2b-zephyr-dpo,-0.7389882
Columbia-NLP/gemma-2b-zephyr-sft,-0.7302412
ConvexAI/Luminex-34B-v0.1,1.7876557
ConvexAI/Luminex-34B-v0.2,1.794997
ConvexAI/Luminex-72B-v0.1,1.396392
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,1.1165845
DBCMLAB/Llama-3-instruction-constructionsafety-layertuning,0.060675602
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,0.9128918
DataLinguistic/DataLinguistic-34B-V1.0,-2.0358226
DeepMount00/Llama-3-8b-Ita,0.91935
DeepMount00/Phi-3-Large-5.6b,-2.0193107
DeepMount00/Phi-3-Mini-4K-Boost,0.96512085
DeepMount00/Phi-3-Mini-4K-Boost_v2,-2.0389297
DenLabs/llama-3-7B-DenBot,0.31459403
DiscoResearch/DiscoLM-70b,1.0157276
Doctor-Shotgun/mythospice-70b,1.1748435
Doctor-Shotgun/mythospice-limarp-70b,1.1779376
DopeorNope/COKAL-v1-70B,1.098143
DopeorNope/SOLARC-M-10.7B,0.8159829
DopeorNope/SOLARC-MOE-10.7Bx4,0.8078789
DopeorNope/SOLARC-MOE-10.7Bx6,0.8355287
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,1.4933219
DrNicefellow/Mistral-1-from-Mixtral-8x7B-v0.1,-1.879513
DrNicefellow/Mistral-2-from-Mixtral-8x7B-v0.1,-1.9194659
DrNicefellow/Mistral-3-from-Mixtral-8x7B-v0.1,-1.8417705
DrNicefellow/Mistral-4-from-Mixtral-8x7B-v0.1,-1.8677502
DrNicefellow/Mistral-5-from-Mixtral-8x7B-v0.1,-1.8815182
DrNicefellow/Mistral-6-from-Mixtral-8x7B-v0.1,-1.8677771
DrNicefellow/Mistral-7-from-Mixtral-8x7B-v0.1,-1.8729341
DrNicefellow/Mistral-8-from-Mixtral-8x7B-v0.1,-1.8754419
DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567,-0.117332906
ENERGY-DRINK-LOVE/SOLAR_merge2_dpo,0.6787668
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,0.8228641
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,0.82381797
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,0.656622
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,0.7831216
