subject,domain_group,n_items,R2
high_school_computer_science,STEM,100,0.2452544525412793
college_chemistry,STEM,100,0.23314797047360225
business_ethics,Non-STEM,100,0.2000303562521044
high_school_macroeconomics,Non-STEM,390,0.1940484518413672
professional_accounting,Non-STEM,282,0.19367051396648238
medical_genetics,Non-STEM,100,0.1899989934918732
abstract_algebra,STEM,100,0.180230665152608
college_physics,STEM,102,0.171841144067162
computer_security,STEM,100,0.16413427890331256
electrical_engineering,STEM,145,0.16359536344893189
formal_logic,Non-STEM,126,0.1535880925033044
college_computer_science,STEM,100,0.14934406750423346
management,Non-STEM,103,0.14671939406125367
public_relations,Non-STEM,110,0.1455777231257278
logical_fallacies,Non-STEM,163,0.13172818104754735
college_medicine,Non-STEM,173,0.11815882621515317
virology,Non-STEM,166,0.11565471750833112
machine_learning,STEM,112,0.11481887948619096
conceptual_physics,STEM,235,0.11121700161966597
international_law,Non-STEM,121,0.11018681459154667
college_mathematics,STEM,100,0.10907581605640415
econometrics,Non-STEM,114,0.09869539519381731
us_foreign_policy,Non-STEM,100,0.09863136352506818
high_school_statistics,STEM,216,0.08555896689482245
high_school_chemistry,STEM,203,0.08497332912701971
high_school_geography,Non-STEM,198,0.08321453662923439
high_school_government_and_politics,Non-STEM,193,0.07555837894087669
high_school_microeconomics,Non-STEM,238,0.0742103151009681
clinical_knowledge,Non-STEM,265,0.07361527170889504
global_facts,Non-STEM,100,0.07267697613277613
jurisprudence,Non-STEM,108,0.07188043125224552
college_biology,STEM,144,0.06774279891087798
astronomy,STEM,152,0.06708769885943577
anatomy,STEM,135,0.059225230277761165
high_school_mathematics,STEM,270,0.056886588749912814
high_school_european_history,Non-STEM,165,0.05668904690015242
human_sexuality,Non-STEM,131,0.05324190095207726
security_studies,Non-STEM,245,0.05197338377549776
elementary_mathematics,STEM,378,0.049908430273997606
miscellaneous,Non-STEM,783,0.04960840833569735
sociology,Non-STEM,201,0.04716154240336534
high_school_world_history,Non-STEM,237,0.04597852175532169
prehistory,Non-STEM,324,0.04315409889453614
high_school_us_history,Non-STEM,204,0.0386480871639544
world_religions,Non-STEM,171,0.03762432006933547
moral_disputes,Non-STEM,346,0.030311940682901994
high_school_psychology,Non-STEM,545,0.02818277635451505
professional_medicine,Non-STEM,272,0.028050746327623388
high_school_physics,STEM,151,0.026958086064918008
marketing,Non-STEM,234,0.024659737286425898
human_aging,Non-STEM,223,0.020913532145327873
professional_psychology,Non-STEM,612,0.02067390418182946
philosophy,Non-STEM,311,0.01744706536934859
nutrition,Non-STEM,306,0.01255868573093466
moral_scenarios,Non-STEM,895,0.010466709337194291
high_school_biology,STEM,310,0.008622481941916393
professional_law,Non-STEM,1534,0.004202739965593505
