subject,domain_group,n_items,R2_insample,R2_adjusted,R2_cv,R2_cv_sd,reported
high_school_macroeconomics,Non-STEM,390,0.1940484518413672,0.17496012570076802,0.13008685652141172,0.10675780308878431,True
professional_accounting,Non-STEM,282,0.19367051396648238,0.16699049420802037,0.11461608839458576,0.10272015379338036,True
miscellaneous,Non-STEM,783,0.04960840833569735,0.03854304698384914,0.01343615307598249,0.04608602092433703,True
conceptual_physics,STEM,235,0.11121700161966597,0.07566568168445265,-0.013398199838381017,0.12550692269934371,True
professional_law,Non-STEM,1534,0.004202739965593505,-0.001677952514924641,-0.014292077272149855,0.01054038597286836,True
elementary_mathematics,STEM,378,0.049908430273997606,0.026672495144828945,-0.017061250645113154,0.058313127223787335,True
moral_scenarios,Non-STEM,895,0.010466709337194291,0.0004036589236742216,-0.018356183760623167,0.023124787816105993,True
professional_psychology,Non-STEM,612,0.02067390418182946,0.006032816370594385,-0.02292093206209059,0.033075157517395586,True
high_school_psychology,Non-STEM,545,0.02818277635451505,0.011834449227768662,-0.024572491890676465,0.05268636583839916,True
high_school_statistics,STEM,216,0.08555896689482245,0.045607659623237096,-0.029943312278620886,0.11155079349250216,True
prehistory,Non-STEM,324,0.04315409889453614,0.0157285794360994,-0.035742360799385586,0.07273029132210371,True
college_chemistry,STEM,100,0.23314797047360225,0.15646276752096244,-0.03736997199717714,0.2227970613226729,True
clinical_knowledge,Non-STEM,265,0.07361527170889504,0.04091934012215015,-0.04254654886663808,0.11534232807487595,True
high_school_mathematics,STEM,270,0.056886588749912814,0.024240355283563608,-0.044870578327554915,0.08669432046951563,True
virology,Non-STEM,166,0.11565471750833112,0.06463479736458089,-0.04635612890730226,0.11978649111138459,True
high_school_chemistry,STEM,203,0.08497332912701971,0.04230369162517089,-0.046584160841226574,0.09702699771102696,True
formal_logic,Non-STEM,126,0.1535880925033044,0.0879182031285608,-0.050366574564668296,0.22041354854957268,True
electrical_engineering,STEM,145,0.16359536344893189,0.10783505434552743,-0.05999073306606534,0.39437526126381367,True
moral_disputes,Non-STEM,346,0.030311940682901994,0.004338153379765397,-0.06269826494529396,0.07983298148407916,True
security_studies,Non-STEM,245,0.05197338377549776,0.01566598145200626,-0.07418033064263464,0.128229308974398,True
philosophy,Non-STEM,311,0.01744706536934859,-0.01193159380565434,-0.07512319232921474,0.059558149726800465,True
nutrition,Non-STEM,306,0.01255868573093466,-0.017464867743462564,-0.07621356953429281,0.06277810025068994,True
professional_medicine,Non-STEM,272,0.028050746327623388,-0.005336823455015516,-0.0792086920528415,0.09170784956917719,True
college_medicine,Non-STEM,173,0.11815882621515317,0.06946820925770769,-0.08114616280842338,0.2275412085009802,True
high_school_microeconomics,Non-STEM,238,0.0742103151009681,0.037665985433900984,-0.08822707870788694,0.1713379649572663,True
human_aging,Non-STEM,223,0.020913532145327873,-0.020456318609094915,-0.09850947367905138,0.10270549994385866,True
high_school_biology,STEM,310,0.008622481941916393,-0.021118843599826187,-0.09911720607280554,0.08349622389709725,True
marketing,Non-STEM,234,0.024659737286425898,-0.014528041126173008,-0.1015181701918521,0.12065295376167649,True
college_physics,STEM,102,0.171841144067162,0.09082560381286264,-0.10356896687889278,0.18613541074850562,True
high_school_computer_science,STEM,100,0.2452544525412793,0.16977989779540725,-0.11073817290496667,0.40383268076495504,True
high_school_european_history,Non-STEM,165,0.05668904690015242,0.0019161528491935531,-0.11139538858445724,0.13945087266516898,True
high_school_geography,Non-STEM,198,0.08321453662923439,0.039325870829570064,-0.12130899925576316,0.25205389615810997,True
sociology,Non-STEM,201,0.04716154240336534,0.0022633951867699897,-0.13352507233819252,0.15218218265036987,True
public_relations,Non-STEM,110,0.1455777231257278,0.06867971820704322,-0.13476377461798805,0.3410522478534851,True
high_school_world_history,Non-STEM,237,0.04597852175532169,0.008153881648704453,-0.14130542071128444,0.28488047672470024,True
high_school_physics,STEM,151,0.026958086064918008,-0.03515097227136388,-0.15040561677415237,0.10962157042210845,True
machine_learning,STEM,112,0.11481887948619096,0.0367146629702666,-0.1631417937524519,0.2606281115458135,True
medical_genetics,Non-STEM,100,0.1899989934918732,0.10899889284106057,-0.17370960578573352,0.39438393033490626,True
anatomy,STEM,135,0.059225230277761165,-0.00851055314224003,-0.17461533380435468,0.23748737764190575,True
astronomy,STEM,152,0.06708769885943577,0.007959454420949363,-0.17911681228809495,0.2971966734761151,True
econometrics,Non-STEM,114,0.09869539519381731,0.02069788131635919,-0.18870287521392679,0.2441347122322581,True
