scheme,r2_stem,r2_nonstem,lrt,lrt_df,p_lrt,z_mdd,p_mdd
Baseline (published weights),0.07921573005396354,0.03802274458997146,454.8554019426956,11,1.3334696964400321e-90,4.0481572038212965,5.1622470832615634e-05
Uniform +1.0 (all tiers),0.07883902690728306,0.033555056832755614,452.9279546402977,11,3.4297380122999364e-90,3.642200860001203,0.00027031701699476725
Uniform -1.0 (all tiers),0.07701934246497377,0.03790715382496779,494.10571537884243,11,5.7936921165146795e-99,4.465202300198891,7.999313052010209e-06
Tier 0.5 +1.0,0.0787268152230084,0.04330138042899989,430.19191261960077,11,2.3558086460158888e-85,4.230736970553278,2.3292691390814128e-05
Tier 0.5 -1.0,0.08232653666049594,0.03707424704174611,511.5004382274856,11,1.1300177031881036e-102,3.8967550981820778,9.749011298302633e-05
Tier 1.0 +1.0,0.0786525208622687,0.03128745450591364,476.47943607175694,11,3.30946854769426e-95,3.223083912927771,0.0012681839646914183
Tier 1.0 -1.0,0.07698935931054673,0.03748829765017647,461.6718190694446,11,4.718008949173436e-92,4.23518791993014,2.2836065217139546e-05
Tier 1.5 +1.0,0.0783674672172624,0.036577750088350514,458.58710442550364,11,2.1406798828705122e-91,3.9748446138926923,7.042522081318222e-05
Tier 1.5 -1.0,0.07942421018376311,0.03855969188106012,452.1619101122342,11,4.992430219858735e-90,4.0937749386674955,4.244062847188168e-05
Tier 2.0 +1.0,0.07923271038349489,0.037851409414956905,437.8291399684531,11,5.59716035045878e-87,3.901564263775859,9.557308109038285e-05
Tier 2.0 -1.0,0.07927425959255219,0.037262519336967115,473.1331679451323,11,1.7087413230383185e-94,4.1073595594801935,4.002079681814272e-05
Tier 2.5 +1.0,0.07971079079599097,0.037862202595932204,452.76500722244964,11,3.714877058670317e-90,4.00857118066268,6.108722676405287e-05
Tier 2.5 -1.0,0.07878624271882362,0.03813442118295518,456.79762446177483,11,5.146655654456476e-91,4.083674589102518,4.4329096007775665e-05
Tier 3.0 +1.0,0.07901020759996125,0.03684276375265971,453.28894649133144,11,2.8735755944672113e-90,3.9439286959564646,8.015750066144588e-05
Tier 3.0 -1.0,0.079329616439066,0.03877744376025427,457.8043640093092,11,3.141939273151926e-91,4.104903042032662,4.0448449227882306e-05
Tier 3.5 +1.0,0.07899751669996613,0.03829608351795222,451.68899971626524,11,6.294587399466559e-90,4.081875487091556,4.467373000293373e-05
Tier 3.5 -1.0,0.07931046460650581,0.03780129685951894,458.01862642057677,11,2.8286662619254244e-91,4.026301445324475,5.6661041912820225e-05
Tier 4.0 +1.0,0.07926170848060543,0.0391092876607535,469.2314149931335,11,1.1582897661659685e-93,4.18699205140594,2.8267572113532624e-05
Tier 4.0 -1.0,0.0790474246237447,0.0361633141616613,436.5908079365181,11,1.0264987036447489e-86,3.8041464404319285,0.00014229398769675814
Tier 4.5 +1.0,0.07913489291046061,0.03763060730643064,455.55763243143156,11,9.451423267538717e-91,4.0220115637573235,5.770322425047378e-05
Tier 4.5 -1.0,0.0793573196163373,0.038778024522713506,453.8591916535952,11,2.172908998667422e-90,4.095361977137692,4.215092870105897e-05
Tier 5.0 +1.0,0.07921573005396354,0.03802274458997146,454.8554019426956,11,1.3334696964400321e-90,4.0481572038212965,5.1622470832615634e-05
Tier 5.0 -1.0,0.07921573005396354,0.03802274458997146,454.8554019426956,11,1.3334696964400321e-90,4.0481572038212965,5.1622470832615634e-05
MC draw 1,0.08235893043310105,0.034089180972308286,501.54062079755386,11,1.5050669929956265e-100,3.494599890620378,0.00047477290903817854
MC draw 2,0.08239670540934962,0.03531231888590225,506.93207224558864,11,1.0656872478608678e-101,3.6720236427597364,0.00024063741366280286
MC draw 3,0.0795459352855683,0.038635584698955006,453.90539200726926,11,2.1242581946571236e-90,4.118284664483704,3.81703010884795e-05
MC draw 4,0.07864212316996333,0.03868392115642161,474.95998244376096,11,6.974094046255172e-95,4.169862674609017,3.0478323512262683e-05
MC draw 5,0.08249746410122116,0.037675610277795535,510.4920535541605,11,1.8544359203898553e-102,3.9195015006872445,8.873230880031334e-05
MC draw 6,0.08308759374024721,0.036457360990563736,520.2650963138149,11,1.5238352285181944e-104,3.8577346971696715,0.00011444277013240038
MC draw 7,0.08227831396562901,0.035001867077200655,488.67588099047134,11,8.327648403448006e-98,3.548688897697893,0.0003871541964959782
MC draw 8,0.08234682178459829,0.03665152962577345,501.51730841054814,11,1.5223957950192039e-100,3.808064150302657,0.00014005894337671781
MC draw 9,0.07880510212105063,0.041647653176089094,461.8849320629233,11,4.24991108409768e-92,4.311489972947929,1.621581292197817e-05
MC draw 10,0.08103805213895654,0.038939022559021486,444.8862552571809,11,1.7645781037426502e-88,4.082913909760449,4.447450206825488e-05
MC draw 11,0.08069721300358013,0.03888568412679305,474.2152698922364,11,1.0049546173383436e-94,4.182465792845714,2.8836441522347176e-05
MC draw 12,0.07947515928263638,0.03941050583987482,453.55978573475295,11,2.5163600575994495e-90,4.115551030475703,3.8625552469572074e-05
MC draw 13,0.08280216366792037,0.035534712905666566,523.0306429062693,11,3.9149668207876526e-105,3.6884282980865284,0.00022564359335675716
MC draw 14,0.07949035929828974,0.03859049834788841,446.3450115572414,11,8.634646866817991e-89,4.040928845425426,5.323991168385572e-05
MC draw 15,0.07933620905431049,0.036488488565175725,471.5904934098289,11,3.6417368808200405e-94,4.017029301181243,5.893639841813238e-05
MC draw 16,0.07925555925184602,0.038426509528686315,456.1900261415576,11,6.932241809661027e-91,4.144337814224829,3.407970505097292e-05
MC draw 17,0.0782725050810329,0.035724215717266805,457.8121291409043,11,3.1300019771685127e-91,3.8305900432088538,0.00012783634119043603
MC draw 18,0.07913043171265077,0.040819792481145534,435.44127938394377,11,1.8023818557908357e-86,4.2200958413904575,2.4419847952386036e-05
MC draw 19,0.07973464114545226,0.03813729708792701,448.8830478405798,11,2.489707199046625e-89,4.019459682076261,5.8331762476356454e-05
MC draw 20,0.0826764217951691,0.034360765071954846,517.6272582059464,11,5.569830046566235e-104,3.5130205561179095,0.00044304319887876763
MC draw 21,0.08030403668600195,0.035933278201548347,450.37062883428734,11,1.2010495811302851e-89,3.866210008756527,0.00011053976125475779
MC draw 22,0.07886124811500728,0.03693420701461425,467.94096634983725,11,2.1811008168961923e-93,4.021808789037806,5.7752932893680646e-05
MC draw 23,0.07979542686887398,0.03777418501954255,466.2789328683284,11,4.927856870422767e-93,4.101147643428432,4.111061402367743e-05
MC draw 24,0.07964447103489813,0.04011566455349991,461.2442431117888,11,5.818389650065601e-92,4.282255745647861,1.850081672672982e-05
MC draw 25,0.08022804076740497,0.041254819635092144,410.3296752715687,11,3.9195225209811825e-81,3.992662697319769,6.533547496717141e-05
MC draw 26,0.07839861551157234,0.03603469499856804,450.38990024512896,11,1.189760238875873e-89,3.839153280683447,0.00012345934013188153
MC draw 27,0.07995554270539307,0.038619582203527125,435.2656069321165,11,1.964303797349998e-86,4.029515095162302,5.5892026853705125e-05
MC draw 28,0.08037287556561545,0.039433733152461126,457.8678549945762,11,3.045655067164085e-91,4.187816158799673,2.8165151430174558e-05
MC draw 29,0.07991029262298266,0.03503072601475932,465.2374823676073,11,8.212118689939229e-93,3.8104152188953364,0.00013873358420503896
MC draw 30,0.08228211427930832,0.038229605716789794,508.6368203085658,11,4.613000006666864e-102,4.004661706890655,6.210629491125059e-05
MC draw 31,0.07893042157523977,0.03615133594714037,434.8646572365251,11,2.390457755504807e-86,3.7345675661345323,0.00018803800514315285
MC draw 32,0.08232863102990318,0.03792904000265773,517.6018316979898,11,5.639850772477715e-104,4.019094088637359,5.842233877400482e-05
MC draw 33,0.08220274438772235,0.03862925832792319,495.02049757201166,11,3.697541774388994e-99,3.992657098020362,6.533701829171057e-05
MC draw 34,0.08040177403026683,0.035165891297024854,459.85219779613544,11,1.1513315805398405e-91,3.7627449816414176,0.00016805854946505604
MC draw 35,0.0792514039126615,0.037871196048660516,471.894157380244,11,3.137772081196208e-94,4.044655591093557,5.2400098889911233e-05
MC draw 36,0.08226010108203197,0.03709169848403282,502.27023807710793,11,1.0518432191573218e-100,3.8411893874132526,0.00012243959993881538
MC draw 37,0.08035681002364092,0.03724151520790797,470.01599945338967,11,7.883114624903348e-94,4.062359885066251,4.857910656315611e-05
MC draw 38,0.08219359082321276,0.03726225218301826,510.88006551746366,11,1.5326221576734684e-102,3.8772822206014794,0.00010562980548862311
MC draw 39,0.08219551672472902,0.03622137314834173,508.5452013759932,11,4.825336385061682e-102,3.7635670869187874,0.00016750676302397692
MC draw 40,0.07887434511476998,0.03999028383939485,443.41367123000964,11,3.6304324270851503e-88,4.180873684858287,2.9039115559580406e-05
