corpus,criterion,criterion_alt,WSCG_Nodes,WSCG_Depth,word_count
GSM8K,2,2.0,27,9.0,52
GSM8K,2,2.0,10,2.0,22
GSM8K,4,4.0,14,1.0,35
GSM8K,2,2.0,13,3.5,25
GSM8K,2,2.0,42,7.5,87
GSM8K,5,5.0,20,4.0,41
GSM8K,3,3.0,18,2.5,32
GSM8K,4,4.0,27,2.0,51
GSM8K,7,7.0,36,4.0,82
GSM8K,5,5.0,22,3.0,44
GSM8K,5,5.0,26,4.5,51
GSM8K,4,4.0,27,6.0,45
GSM8K,4,4.0,26,7.0,53
GSM8K,2,3.0,22,2.5,46
GSM8K,4,5.0,24,7.0,37
GSM8K,3,3.0,33,3.0,69
GSM8K,4,4.0,21,3.5,38
GSM8K,4,4.0,22,2.5,41
GSM8K,3,3.0,12,3.0,21
GSM8K,4,4.0,26,4.5,51
GSM8K,4,4.0,27,7.5,49
GSM8K,2,2.0,20,4.0,34
GSM8K,3,3.0,27,4.0,41
GSM8K,2,2.0,17,9.0,27
GSM8K,5,5.0,31,6.0,46
GSM8K,1,2.0,30,4.5,45
GSM8K,1,2.0,24,3.0,41
GSM8K,2,2.0,26,6.0,39
GSM8K,2,3.0,28,3.0,60
GSM8K,3,3.0,15,5.0,24
GSM8K,4,4.0,22,5.0,49
GSM8K,2,2.0,18,3.5,33
GSM8K,2,6.0,11,2.0,20
GSM8K,2,3.0,18,3.0,28
GSM8K,3,3.0,18,3.0,33
GSM8K,3,3.0,13,1.5,26
GSM8K,4,4.0,24,3.0,49
GSM8K,5,5.0,16,2.5,34
GSM8K,6,7.0,27,5.0,65
GSM8K,2,2.0,20,3.0,31
GSM8K,2,2.0,42,3.5,95
GSM8K,2,2.0,32,3.5,65
GSM8K,2,4.0,20,4.0,41
GSM8K,4,4.0,27,7.0,48
GSM8K,4,5.0,37,3.5,79
GSM8K,1,4.0,38,8.0,70
GSM8K,6,6.0,13,2.5,36
GSM8K,2,2.0,14,1.0,31
GSM8K,3,3.0,16,3.5,31
GSM8K,3,3.0,15,2.0,29
GSM8K,3,3.0,14,2.0,36
GSM8K,3,3.0,20,3.0,45
GSM8K,3,3.0,42,6.5,78
GSM8K,3,3.0,28,2.5,63
GSM8K,2,2.0,15,2.5,29
GSM8K,2,2.0,16,1.0,37
GSM8K,2,2.0,30,3.5,60
GSM8K,2,3.0,27,3.0,55
GSM8K,2,2.0,14,4.5,24
GSM8K,3,3.0,12,1.0,26
GSM8K,3,3.0,16,1.0,42
GSM8K,2,3.0,24,5.0,46
GSM8K,6,6.0,26,5.0,59
GSM8K,2,2.0,30,2.0,79
GSM8K,4,4.0,19,2.0,39
GSM8K,5,5.0,29,15.5,50
GSM8K,3,3.0,19,3.5,39
GSM8K,3,3.0,15,3.0,28
GSM8K,2,2.0,17,2.0,40
GSM8K,4,4.0,23,4.0,36
GSM8K,2,2.0,18,3.0,37
GSM8K,3,3.0,20,2.0,35
GSM8K,4,4.0,21,6.0,31
GSM8K,4,7.0,44,3.5,77
GSM8K,5,5.0,22,3.0,55
GSM8K,5,5.0,37,6.0,70
GSM8K,2,3.0,22,4.0,38
GSM8K,5,5.0,14,1.5,31
GSM8K,2,2.0,14,3.0,32
GSM8K,4,4.0,15,3.0,26
GSM8K,2,3.0,23,2.0,46
GSM8K,2,2.0,16,3.0,22
GSM8K,2,2.0,15,6.5,22
GSM8K,3,6.0,9,1.0,18
GSM8K,3,3.0,31,6.0,70
GSM8K,3,3.0,38,5.5,78
GSM8K,3,4.0,32,4.0,64
GSM8K,2,2.0,20,3.0,35
GSM8K,4,4.0,32,4.0,72
GSM8K,3,3.0,17,2.5,30
GSM8K,2,3.0,26,4.0,38
GSM8K,3,3.0,35,9.5,54
GSM8K,3,4.0,25,6.0,44
GSM8K,4,4.0,16,4.0,29
GSM8K,2,2.0,15,3.0,25
GSM8K,3,3.0,25,3.0,41
GSM8K,1,2.0,34,4.0,76
GSM8K,4,4.0,26,4.0,63
GSM8K,6,6.0,35,4.5,71
GSM8K,3,3.0,32,4.0,60
GSM8K,3,3.0,25,3.0,55
GSM8K,2,2.0,24,3.0,54
GSM8K,4,4.0,17,4.0,36
GSM8K,2,2.0,13,1.5,24
GSM8K,6,6.0,19,4.0,31
GSM8K,2,7.0,53,19.5,86
GSM8K,3,3.0,23,4.0,67
GSM8K,3,3.0,22,4.0,44
GSM8K,4,4.0,42,8.5,65
GSM8K,4,4.0,27,3.0,59
GSM8K,2,2.0,26,6.5,51
GSM8K,2,2.0,13,2.5,23
GSM8K,1,2.0,31,3.0,61
GSM8K,3,5.0,36,4.5,70
GSM8K,2,2.0,21,2.5,39
GSM8K,2,2.0,11,3.0,21
GSM8K,3,3.0,29,4.5,59
GSM8K,4,7.0,30,4.0,55
